ID RENABAP,Provincia,Municipio,Barrio,Localidad,Tipo de UE,Tipo de Proyecto,Nombre de Proyecto,Financiamiento,Estado,Monto Total,Acta de Inicio Real,% Avance físico
322,Buenos Aires,La Plata,Cristo Rey,Jose Melchor Romero,OSC,POT,"conexiones e instalaciones intra lote de electricidad, red peatonal, arbolado público y equipamiento urbano",FISU,En ejecución,"$377,353,456.35",16/5/2023,79.89%
3891,Misiones,Apóstoles,La Cantera,Apóstoles,OSC,POT,"Obras de conexiones e instalaciones intra lote de electricidad, red peatonal y arbolado público",FISU,En ejecución,"$464,463,132.29",22/12/2023,20.00%
3525/4355,Santiago del Estero,La Banda,La Isla/Reconquista,La Banda/Santiago Del Estero,OSC,POT,B° Reconquista (ID 4355): Obras de Playón deportivo y espacio recreativo. B° La Isla (ID 3525): Obras de Espacio recreativo.,FISU,En ejecución,"$457,888,111.17",29/8/2023,68.40%
3749,Río Negro,El Bolsón,La Aldea,El Bolsón,OSC,POT,Equipamiento Productivo,FISU,En ejecución,"$938,889,868.40",2/9/2023,60.00%
1571,Buenos Aires,La Matanza,Costa Esperanza,Gonzales Catán,OSC,POT,Equipamiento Productivo,FISU,En ejecución,"$254,832,292.89",24/8/2023,41.57%
5293,Buenos Aires,La Matanza,Diecisiete de Septiembre,Gonzalez Catán,OSC,POT,Equipamiento Comunitario,FISU,En ejecución,"$201,536,773.24",3/11/2023,11.51%
1574,Buenos Aires,Lomas de Zamora,Las Casuarinas,Temperley,OSC,POT,Equipamiento Productivo,FISU,En ejecución,"$86,902,742.96",12/9/2023,20.00%
197,Buenos Aires,Almirante Brown,Villa París,Longchamps,OSC,POT,Equipamiento productivo: Polo textil,FISU,En ejecución,"$264,280,637.66",31/8/2023,60.04%
543,Buenos Aires,La Matanza,Santa Cecilia,Gonzalez Catán,OSC,POT,Equipamiento Productivo,FISU,En ejecución,"$214,543,466.63",10/8/2023,45.73%
1617,Córdoba,Córdoba Capital,Villa Urquiza,Córdoba Capital,OSC,POT,Obras de conexiones e instalaciones intra lote de electricidad,FISU,En ejecución,"$484,845,220.04",12/4/2024,20.81%
6012 / 6011,Tucumán,Monteros,Usina II/La Granja,Villa Quinteros,OSC,POT,"Obras de conexiones e instalaciones intra lote de agua y electricidad, y Núcleos húmedos",FISU,En ejecución,"$218,705,573.94",23/10/2023,23.49%
2714,Entre Ríos,Paraná,El Sol,Paraná,OSC,POT,Obras de conexiones e instalaciones intra lote de electricidad y Red peatonal,FISU,En ejecución,"$324,892,954.33",27/9/2023,100.00%
3121,Entre Ríos,Concordia,Llamarada,Concordia,OSC,POT,"Obras de conexiones e instalaciones intra lote de agua, cloaca y red peatonal.",FISU,En ejecución,"$597,233,567.00",28/9/2023,60.45%
2790,Tucumán,San Miguel De Tucumán,Eucaliptus,San Miguel de Tucuman,OSC,POT,Obras de conexiones e instalaciones intra lote de electricidad y red peatonal y arbolado público,FISU,En ejecución,"$465,169,071.79",29/9/2023,85.26%
222,Buenos Aires,Malvinas Argentinas,La Hoya,Malvinas Argentinas,OSC,POT,Obras de instalaciones intra lote de electricidad.,FISU,Terminado,"$181,124,817.70",30/6/2023,100.00%
397,Buenos Aires,San Isidro,La Cava,San Isidro,OSC,POT,Obras de instalaciones intra lote de electricidad.,FISU,Terminado,"$512,562,838.37",5/6/2023,100.00%
1853,Santa Fe,Rosario,San Martin Sur,Rosario,OSC,POT,Obras de conexiones e instalaciones intra lote de electricidad,FISU,En ejecución,"$109,075,245.62",13/12/2023,21.81%
3535/3536,Chubut,Trelew,Toma Barrio Norte/Toma Canal,Trelew,OSC,POT,Equipamiento Productivo: Predio Ferial,FISU,En ejecución,"$2,127,948,860.35",7/12/2023,17.95%
545,Buenos Aires,San Isidro,Nueva Esperanza,Villa Adelina,OSC,POT,Equipamiento educativo.,FISU,Terminado,"$243,398,537.54",6/3/2023,100.00%
2891,Buenos Aires,General Pueyrredón,Nuevo Golf,Mar Del Plata,OSC,POT,"Conexiones intradomiciliarias eléctricas, red peatonal, arbolado público y equipamiento urbano",FISU,En ejecución,"$234,324,529.54",11/12/2023,20.00%
52,Buenos Aires,General San Martín,18 de julio,Loma Hermosa,Municipio,PEG,Obras de Integración Socio Urbana,FISU,En ejecución,"$622,770,362.78",21/11/2023,21.16%
1159/1119/150/4760,Buenos Aires,Mercedes,El Álamo/Puente Plateado/Geo/Sin nombre,Gowland/Mercedes,OSC,POT,Obras de integracion sociourbana,FISU,En ejecución,"$565,122,479.15",22/8/2023,74.12%
652,Buenos Aires,Bahía Blanca,Costa Blanca,Bahia Blanca,OSC,POT,"Obra de intra-lote de electricidad, red peatonal y
equipamiento urbano",FISU,En ejecución,"$365,751,660.89",18/9/2023,98.52%
5189,Entre Ríos,Gualeguaychú,Los Espinillos,Gualeguaychu,OSC,POT,Equipamiento Productivo (centro verde),FISU,En ejecución,"$268,709,760.41",11/5/2023,34.77%
2093,Salta,Salta Capital,Sanidad 2,Salta Capital,OSC,POT,"Obras de conexiones e instalaciones intra lote de cloaca, electricidad, redpeatonal y arbolado público",FISU,En ejecución,"$263,265,217.34",9/11/2023,22.90%
174/374/5664,Buenos Aires,Chivilcoy,Barrio Blanco/Rojas/La victoria,Chivilcoy,OSC,POT,"conexiones e instalacion de agua, cloaca y electricidad, red peatonal y equioamiento urbano",FISU,En ejecución,"$403,061,122.56",18/9/2023,80.00%
5661/4761/213,Buenos Aires,Baradero,Dos de septiembre/Sindicatos/La Igualdad,Baradero,Municipio,POT,Obras de Integración Socio Urbana,FISU,En ejecución,"$1,437,602,511.87",7/12/2023,0.51%
